"ranks","gene","z"
0.151681022424702,"AL513534.2",0.152860597396541
0.151673900661549,"AC022126.1",0.152853307931576
0.151667832239872,"TMUB1",0.152847096624674
0.151650756019639,"CENPS",0.15282961839571
0.151648373609328,"PUS3",0.152827179906012
0.151639983180638,"SPOCD1",0.152818591989975
0.15163111229882,"NRBP2",0.152809512336606
0.151630968157246,"TPBG",0.152809364802941
0.151625776497896,"GOLGA8B",0.152804050972448
0.151616510126234,"GLIS1",0.152794566563993
0.15159980504412,"AC092969.1",0.15277746848189
0.151589893450209,"ANKRD36C",0.152767323751957
0.151589686344126,"CEP135",0.152767111774752
0.1515884708144,"CFAP299",0.152765867656114
0.151575343489037,"ST8SIA1",0.152752431609711
0.151566248940839,"SERPINB9",0.152743123213144
0.151565268342998,"AL137009.1",0.152742119559185
0.151562521413733,"ECE1",0.152739308044898
0.151562344897088,"DBNDD2",0.152739127378125
0.151513739786534,"RBM43",0.152689379876975
0.151501471256649,"TMEM186",0.152676823112147
0.151494644145999,"MOXD1",0.152669835627105
0.15146432220801,"CAMKV",0.152638801580838
0.151459359276954,"NCKAP5",0.152633722123531
