"BE2_ranks","gene"
0.0843999980511948,"KLB"
0.0843999980511948,"AC099343.2"
0.0843999980511948,"IL2RA"
0.0843999980511948,"AL356805.1"
0.0843999980511948,"AP000829.1"
0.0843999980511948,"AC106037.3"
0.0843487805468308,"INPPL1"
0.084332642940248,"AC018541.1"
0.0843300914364123,"LINC01708"
0.0842922465304283,"MVB12B"
0.0841518220372056,"PSMD14"
0.0841180530165946,"AC124283.1"
0.0841143837294324,"CD99L2"
0.0840547670011191,"RARA"
0.0840501941133723,"TASOR2"
0.0840423498588135,"STK19"
0.084016318707699,"CLCN2"
0.0840071598047996,"CLIP3"
0.0839852560460292,"AL049637.1"
0.0839852560460292,"LINC01587"
0.0839852560460292,"MOG"
0.0839852560460292,"SPDYE6"
0.0839852560460292,"AC104393.1"
0.0839852560460292,"AC024382.1"
0.0839852560460292,"CST6"
0.0839852560460292,"TSPAN11"
0.0839852560460292,"AC005726.2"
0.0839852560460292,"AC005702.5"
0.0839852560460292,"KCNA7"
0.0839852560460292,"KLHL34"
0.0839810232116912,"PRNCR1"
0.0838465272903065,"KCNK15-AS1"
0.0838283008260287,"EXOC6B"
0.0836717147945678,"LINC01089"
0.0836459010130384,"MAK"
0.0836420559913702,"TNIP3"
0.0836099048655392,"C10orf88"
0.0835984143110576,"LINC02340"
0.0835705140408637,"AL390860.1"
0.0835705140408637,"AC116158.1"
0.0835705140408637,"AC243585.2"
0.0835705140408637,"MLC1"
0.0835521528738465,"TUBGCP3"
0.0835495979444592,"LRIG2"
0.0835241886275136,"AC011092.2"
0.0835011864912494,"RASSF7"
0.0834710149333289,"ADPRHL1"
0.0834596120812935,"SNTG2"
0.083446266464116,"ITGB5-AS1"
0.0834368063772229,"AL360227.1"
0.0834137738675019,"HRH2"
0.0833838335679402,"CXXC5"
0.0833508600320235,"AC108863.2"
0.0833482430090792,"GPR18"
0.0833445735568167,"VPS54"
0.0833292133140502,"CERS3-AS1"
0.0832747435197346,"ELAVL1"
0.0832270456694306,"ZNF304"
0.0831892606275969,"GLDN"
0.0831557720356981,"AC069148.1"
0.0831557720356981,"AC116036.2"
0.0831557720356981,"COL21A1"
0.0831557720356981,"AP004608.1"
0.0831557720356981,"AC023300.2"
0.0831557720356981,"AC091646.1"
0.0831557720356981,"RGL3"
0.0831557720356981,"ZBTB32"
0.0831557720356981,"SEC14L4"
0.0831132597804304,"AC006141.1"
0.0830986131635727,"SLC12A8"
0.0830116733438822,"AC079385.1"
0.0829955519038796,"P4HTM"
0.0829872873190679,"RBBP8"
0.0829352975036211,"G6PC3"
0.0829096945831523,"KCNAB1"
0.0828863902869544,"AP000766.1"
0.082849450538427,"PAQR9-AS1"
0.082809987554805,"CDCA7"
0.0827989036347877,"SLC7A14-AS1"
0.0827952400036679,"TIMP1"
0.0827702532873018,"HS3ST3B1"
0.0827410300305325,"AC105941.1"
0.0827410300305325,"AC139887.4"
0.0827410300305325,"AC097459.1"
0.0827410300305325,"AL359313.1"
0.0827410300305325,"AC006566.2"
0.0827332300186781,"AC009779.2"
0.0827152497171371,"PARP1"
0.0827065053071915,"TMED3"
0.0827063770647504,"AEBP2"
0.0826646542660121,"LINC01004"
0.0826335322796967,"MRC2"
0.0826214898506336,"HOXA10"
0.0825949017628846,"UBE2T"
0.0825884570592645,"LIN7C"
0.0824937691182404,"LINC01094"
0.0824814158037924,"DNAL4"
0.0824733031732858,"NIPAL4"
0.0824669129553928,"AL450998.3"
0.082445827267528,"SLA"
0.0823914556388836,"AP003307.1"
0.0823806462970667,"GNS"
0.0823432245535082,"ZFP1"
0.0823387393263045,"OR51I2"
0.0823262880253669,"AL592464.3"
0.0823262880253669,"CELA3B"
0.0823262880253669,"AL844892.2"
0.0823262880253669,"AP003025.1"
0.0823262880253669,"AC009041.4"
0.0823066959190325,"ORAI3"
0.0822904754574193,"TM7SF2"
0.0822900899729136,"RNASEH2B"
0.0822290373404176,"MCTP1"
0.0822174019565317,"SMC6"
0.0821816225892308,"LINS1"
0.0821696644447975,"ALG1L9P"
0.0821473040421009,"MAP3K10"
0.0821308274031,"AL049869.3"
0.0821041710287113,"NECAP2"
0.0820167728252701,"PIBF1"
0.0820079848332616,"PSMC3IP"
0.0820074004336029,"AP002852.1"
0.0819677800015895,"CAMK2D"
0.0819589938660074,"SMIM18"
0.0819351932998212,"AL451050.2"
0.0819313329793443,"PINK1"
0.0819115460202014,"LINC01672"
0.0819115460202014,"AC025754.1"
0.0819115460202014,"PDE6A"
0.0819115460202014,"FOXB2"
0.0819115460202014,"NEURL1-AS1"
0.0819115460202014,"PSMB11"
0.0819115460202014,"AL161756.3"
0.0819115460202014,"AC002558.2"
0.0819115460202014,"AC024361.2"
0.0819115460202014,"AC011446.3"
0.0819115460202014,"TRPM2"
0.0819009847437152,"SLCO1B3"
0.0817194693253206,"CD46"
0.0817011125210231,"SMOC1"
0.0816903187421962,"ZBTB46"
0.0816237529036064,"RNF212B"
0.081568532336965,"ZPLD1"
0.0815153914991169,"NAXD"
0.081500386261621,"RBM26-AS1"
0.0814968040150358,"ELAVL4"
0.0814968040150358,"AC007277.1"
0.0814968040150358,"LINC00971"
0.0814968040150358,"DPPA4"
0.0814968040150358,"AC026785.3"
