"gene","BE1_ranks","BE2_ranks"
"AC004938.2",0.0139350648605568,0.00988874189410326
"AC004943.1",0.00215528521632474,-0.0155794648176299
"AC004943.2",0.0123912467769512,0.00952636904161267
"AC004943.3",-0.00698403316632544,-0.00599575805510122
"AC004947.1",-0.00829687692699536,-0.0152292386632533
"AC004948.1",0.00133887595529681,-0.0071713469104538
"AC004949.1",0.00390232995134014,-0.000241544005901375
"AC004951.1",0.0184104159404953,0.00410280532835452
"AC004969.1",-0.0023953667483198,-0.00487818712103843
"AC004973.1",-0.00550091292008674,0.0101261950086839
"AC004974.1",0.0106764962451486,0.0130699332015825
"AC004982.2",-0.00724114441651935,0.00872708600253144
"AC004988.1",0.00862743023876247,0.0100010227780314
"AC004994.1",-0.0291677131341981,-0.00138065862887771
"AC005005.3",-0.00731510651138954,0.0125920726716434
"AC005005.4",0.00608920506288452,0.0164689271100863
"AC005009.2",0.00937058057583084,-0.00977373967708848
"AC005014.2",-0.00399352887034527,-0.00377123830499382
"AC005014.3",0.0148256980882391,0.00928869058971222
"AC005014.4",0.0161425638544436,0.0029076050602878
"AC005034.2",0.00773854992202696,0.0108712639358348
"AC005034.5",-0.0158192415412533,0.0163492938409659
"AC005034.6",-0.00631905864600997,0.00743928790259091
"AC005037.1",0.0306799332351353,-0.00940939872532238
"AC005040.2",-0.0108334394887369,-0.0129855377532615
"AC005041.3",0.00929382589366937,0.00838275192839266
"AC005041.5",0.00440521607646483,-0.0151699215842551
"AC005042.2",0.00806316028385602,0.00164671062967498
"AC005046.1",0.00267107197721455,-0.0256757663830712
"AC005050.1",-0.0120386872272174,0.0114536172178049
"AC005050.2",0.0104427316239939,-0.00866468304706057
"AC005050.3",0.00392754746569966,0.00356036563895819
"AC005052.2",0.00625199482951977,-0.0106021080534328
"AC005062.1",0.017781861587279,-0.00855603165295836
"AC005064.1",0.00981880215989919,0.0141828962584058
"AC005070.3",0.0267739550252408,0.0172648057113717
"AC005072.1",0.0133766511788804,0.0110917410579572
"AC005076.1",-0.00510376715463987,-0.0142834264210451
"AC005081.1",0.0227055719272494,-0.00979579651987141
"AC005082.1",-0.00690333074723283,-0.0173075051171913
"AC005082.2",0.00963737921099057,0.00575395955273985
"AC005083.1",-0.0100393430858446,-0.0197065868681387
"AC005086.2",-0.00412689347083917,0.0197497437724908
"AC005089.1",0.00912008934195295,0.0130327358456221
"AC005091.1",-0.0209226169027405,0.0152817585185685
"AC005096.1",-0.0142191752520508,-0.0119800804642024
"AC005100.1",0.00426272778615704,-0.00981120292964342
"AC005104.3",-0.00746315690037444,-0.0127117997168545
"AC005144.1",0.00782158684748513,-0.0176488880286114
"AC005153.1",0.0227436151786114,0.0111754409076191
"AC005154.4",-0.00547554029520151,0.0104635475452413
"AC005162.1",0.00773233465548699,0.00434044339746412
"AC005162.3",0.00842644969782118,0.00939271304226324
"AC005165.1",-0.0220645119749384,-0.00146564559869632
"AC005180.1",0.0168926594236178,-0.029883410820401
"AC005180.2",0.0154444261857296,-0.0111619914314616
"AC005208.1",-0.00494782615933686,0.0211899428790804
"AC005224.1",0.00897995646848278,0.0080261932222569
"AC005224.2",0.0124716781695594,-0.00402598156000141
"AC005224.3",0.000943837530448655,0.0114353313549518
"AC005225.2",0.0184350903098696,-0.0283905122135978
"AC005225.3",0.00826788915933587,0.0285148830141664
"AC005229.4",0.0176943635498111,0.0131350782096525
"AC005234.1",-0.00213852741733016,-0.012565456130951
"AC005237.1",0.0401526389332425,0.0068910204311826
"AC005252.4",-0.0057233262969621,-0.011426024316597
"AC005253.1",0.0270341042635019,0.026752690453764
"AC005253.2",0.0207854123919528,-0.0166399785468111
"AC005256.1",0.00839580999794396,0.00681962655676829
"AC005261.1",0.00107399019397343,-0.00781597018926334
"AC005261.2",0.0156616251192542,-0.00981521537533622
"AC005262.2",-0.00703438553996903,-0.00861581498649146
"AC005264.1",-0.00354784821664784,-0.0157266722467927
"AC005280.1",0.00386037268339075,-0.0173699620153784
"AC005280.2",0.0103262061236681,-0.00925465933700549
"AC005288.1",-0.00402165122201591,0.0240273033001914
"AC005291.1",-0.00304325125757448,-0.0437733176003637
"AC005291.2",0.024510828153209,-0.0159374146423099
"AC005293.1",-0.00543827804373274,-0.00973226221641641
"AC005301.2",-0.0147935917955276,-0.00853311519168221
"AC005304.1",-0.00120606675717033,-0.00732297727581146
"AC005304.3",-0.0168242550356613,-0.00385897666608682
"AC005306.1",0.0153534841948371,-0.0262078218103166
"AC005323.1",0.0257284136000118,-0.0171416575371313
"AC005323.2",0.0396338267351414,-0.0699810409441659
